2024-11-13 17:10:37 info: Congratulations, your extension "Embold" is now active!
2024-11-13 17:10:37 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-11-13 17:10:39 error: SQLITE_ERROR: no such table: issues
2024-11-13 17:10:39 error: SQLITE_ERROR: no such table: issues
2024-11-13 17:10:39 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-11-13 17:10:39 info: Extension installed on machine OS : darwin
2024-11-13 17:10:39 info: Fetched the issues from DB
2024-11-13 17:10:39 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-11-13 17:10:39 info: Current installed embold extension version : 0.1.8
2024-11-13 17:10:39 info: Latest embold extension version on marketplace : 0.1.6
2024-11-13 17:10:39 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-11-13 17:10:39 info: Java installed on machine.
2024-11-13 17:11:37 info: Row(s) deleted
2024-11-13 17:11:37 info: Row(s) deleted
2024-11-13 17:12:02 info: Row(s) deleted
2024-11-13 17:12:03 info: Row(s) deleted
2024-11-13 17:15:36 info: Row(s) deleted
2024-11-13 17:15:38 info: Row(s) deleted
2024-11-13 17:15:38 info: Row(s) deleted
2024-11-13 17:15:38 info: Row(s) deleted
2024-11-13 17:15:54 info: Row(s) deleted
2024-11-13 17:15:55 info: Row(s) deleted
2024-11-13 17:16:07 info: Row(s) deleted
2024-11-13 17:16:11 info: Row(s) deleted
2024-11-13 17:16:50 info: Row(s) deleted
2024-11-13 17:16:53 info: Row(s) deleted
2024-11-13 17:20:56 info: Row(s) deleted
2024-11-13 17:21:07 info: Row(s) deleted
2024-11-13 17:21:07 info: Row(s) deleted
2024-11-13 17:21:07 info: Row(s) deleted
2024-11-13 17:21:13 info: Row(s) deleted
2024-11-13 17:21:14 info: Row(s) deleted
2024-11-13 17:32:37 info: Row(s) deleted
2024-11-13 17:32:44 info: Row(s) deleted
2024-11-13 17:32:44 info: Row(s) deleted
2024-11-13 17:32:44 info: Row(s) deleted
2024-11-13 17:32:47 info: Row(s) deleted
2024-11-13 17:32:48 info: Row(s) deleted
2024-11-13 17:35:00 info: Row(s) deleted
2024-11-13 17:35:07 info: Row(s) deleted
2024-11-13 17:35:07 info: Row(s) deleted
2024-11-13 17:35:07 info: Row(s) deleted
2024-11-13 17:35:11 info: Row(s) deleted
2024-11-13 17:35:12 info: Row(s) deleted
2024-11-13 17:38:00 info: Row(s) deleted
2024-11-13 17:38:05 info: Row(s) deleted
2024-11-13 17:38:05 info: Row(s) deleted
2024-11-13 17:38:05 info: Row(s) deleted
2024-11-13 17:38:08 info: Row(s) deleted
2024-11-13 17:38:08 info: Row(s) deleted
2024-11-13 17:41:28 info: Row(s) deleted
2024-11-13 17:41:40 info: Row(s) deleted
2024-11-13 17:41:46 info: Row(s) deleted
2024-11-13 17:41:46 info: Row(s) deleted
2024-11-13 17:41:46 info: Row(s) deleted
2024-11-13 17:41:50 info: Row(s) deleted
2024-11-13 17:41:50 info: Row(s) deleted
2024-11-13 17:45:52 info: Row(s) deleted
2024-11-13 17:45:57 info: Row(s) deleted
2024-11-13 17:45:57 info: Row(s) deleted
2024-11-13 17:45:57 info: Row(s) deleted
2024-11-13 17:46:00 info: Row(s) deleted
2024-11-13 17:46:01 info: Row(s) deleted
